,X,Age,Overall,Acceleration,Aggression,Agility,Balance,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GoK.diving,GoK.handling,GoK.kicking,GoK.positioning,GoK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,Potential
6434,6433,22,69,54,63,49,55,57,64,33,36,60,35,34,8,6,10,10,15,68,68,68,55,42,68,36,29,58,68,50,68,46,62,72,78,34,28,75
6435,6434,33,69,68,51,75,74,67,72,70,58,68,52,50,7,14,12,13,11,55,39,62,71,73,37,60,70,72,72,74,40,61,65,29,62,68,62,69
6436,6435,35,69,42,29,43,25,22,24,21,18,12,11,15,67,70,64,71,69,14,16,58,22,13,20,24,18,63,23,22,12,30,40,13,83,33,14,69
6437,6436,27,69,68,71,59,57,51,64,19,22,33,32,21,15,5,8,13,15,71,62,58,31,21,72,42,31,72,38,44,69,72,66,72,78,28,28,70
6438,6437,27,69,64,60,66,69,73,65,64,65,70,60,60,10,9,7,8,6,49,54,54,66,60,62,55,68,67,72,67,56,52,81,62,70,67,48,69
6439,6438,28,69,76,69,73,65,66,62,72,59,64,41,32,7,8,10,16,11,65,63,73,63,42,66,44,61,63,66,62,66,77,74,70,70,54,37,69
6440,6439,25,69,77,68,82,76,70,60,51,47,72,69,56,10,11,13,10,11,51,26,75,40,60,16,57,71,63,60,77,12,79,64,30,71,57,54,74
6441,6440,24,69,83,81,68,78,65,67,34,50,60,70,37,10,8,12,10,13,54,19,82,36,65,16,72,71,60,53,78,14,82,56,19,85,50,63,74
6442,6441,28,69,51,74,34,74,51,69,33,31,41,31,32,5,11,41,7,21,61,69,74,44,42,68,42,29,69,47,42,69,37,75,73,82,21,32,69
6443,6442,29,69,67,82,74,77,72,70,70,71,68,55,67,9,12,13,9,15,47,64,74,70,67,61,80,64,68,71,70,72,65,78,66,63,63,65,69
6444,6443,26,69,72,61,67,62,71,68,63,68,73,65,67,8,12,9,7,8,63,64,41,66,70,57,58,64,68,69,78,54,73,82,61,74,66,63,71
6445,6444,25,69,72,65,78,75,70,60,66,50,71,66,67,11,15,15,11,11,52,57,76,68,72,62,56,68,59,72,70,50,72,81,59,68,67,48,72
6446,6445,25,69,82,54,89,72,70,67,58,59,67,71,39,13,15,11,12,15,68,23,92,59,62,19,67,65,64,60,66,20,81,67,27,66,60,62,72
6447,6446,28,69,66,57,53,47,50,59,34,33,35,35,31,12,14,14,10,12,73,71,69,53,48,67,41,27,53,55,53,67,70,63,68,88,50,38,70
6448,6447,21,69,30,33,31,51,19,26,11,17,20,17,15,71,64,66,69,72,14,16,60,22,14,18,23,13,63,27,23,19,41,25,16,68,41,16,82
6449,6448,30,69,70,59,63,65,63,59,67,52,61,32,45,8,12,11,8,15,59,66,70,56,39,64,49,59,67,64,58,71,74,72,68,70,48,35,69
6450,6449,23,69,46,27,32,39,20,30,20,16,16,18,12,71,67,66,68,74,15,18,51,24,14,20,25,19,53,31,18,16,42,35,14,70,21,15,76
6451,6450,19,69,76,61,69,66,74,66,72,42,71,51,39,13,9,10,5,8,56,66,65,57,52,65,42,70,72,60,50,68,69,64,68,55,60,40,77
6452,6451,34,69,37,69,43,59,60,63,43,49,43,44,21,12,15,13,14,10,71,71,65,61,19,73,35,39,70,70,40,57,37,51,71,70,59,30,69
6453,6452,27,69,68,43,63,48,67,58,54,53,65,67,40,13,9,14,10,16,70,20,71,37,63,19,68,67,66,62,68,23,72,63,24,85,64,59,69
6454,6453,20,69,80,60,77,70,72,41,69,42,71,29,44,15,10,10,15,8,57,63,66,57,39,64,36,55,63,68,55,66,82,74,67,42,49,24,80
6455,6454,19,69,79,68,81,80,74,68,56,36,75,56,42,7,8,8,9,11,41,55,73,66,69,38,40,66,68,68,73,53,77,73,58,58,67,49,81
6456,6455,27,69,86,68,85,86,68,68,66,62,69,67,68,15,7,15,14,7,61,32,53,58,65,19,65,67,64,65,66,39,85,80,45,63,66,62,69
6457,6456,26,69,65,66,69,65,62,67,53,50,60,43,53,11,13,14,7,15,71,66,82,58,49,69,58,42,64,65,56,67,67,70,72,67,54,44,71
6458,6457,25,69,74,37,78,64,75,59,62,59,77,61,49,8,15,15,14,15,48,29,70,57,58,37,59,58,60,66,60,31,72,72,33,60,67,64,70
6459,6458,22,69,52,59,40,55,60,49,44,44,60,23,28,14,13,12,14,7,71,65,74,48,34,70,40,31,56,57,63,70,56,58,71,80,35,34,76
6460,6459,24,69,91,45,86,78,70,56,62,56,73,67,40,12,13,12,12,10,54,36,82,38,64,29,67,74,66,59,68,26,91,62,41,65,59,63,74
6461,6460,29,69,68,86,78,59,69,65,48,48,68,67,51,8,13,9,8,15,64,32,90,50,64,32,68,69,64,58,75,25,69,77,30,78,65,70,69
6462,6461,27,69,63,59,71,70,72,58,58,68,68,57,59,12,9,6,16,10,51,74,80,69,61,60,70,53,73,70,59,59,57,82,60,69,71,49,72
6463,6462,23,69,53,56,57,49,58,64,53,42,51,34,34,12,12,15,9,12,68,68,73,56,33,71,31,27,64,64,48,70,54,57,74,72,52,52,75
6464,6463,25,69,69,86,67,66,71,73,66,73,64,61,58,10,10,7,13,10,62,71,83,66,70,71,51,64,63,67,70,71,66,80,72,86,67,62,73
6465,6464,29,69,65,62,81,83,65,55,63,64,63,61,66,16,15,7,13,11,58,60,79,67,65,57,61,64,74,71,67,43,72,81,51,64,72,51,69
6466,6465,27,69,78,66,74,67,70,72,70,66,73,58,53,11,12,10,16,13,54,60,69,60,63,37,64,60,67,62,66,38,78,71,40,69,61,52,69
6467,6466,23,69,65,67,57,50,65,59,55,33,61,25,30,8,13,15,7,11,64,68,72,50,48,67,45,25,60,54,65,71,63,68,71,81,31,35,73
6468,6467,26,69,71,33,61,61,66,68,29,49,68,72,29,14,15,7,12,6,69,17,58,47,65,19,69,69,62,64,65,20,67,65,17,68,56,57,71
6469,6468,23,69,69,78,66,70,71,61,67,47,62,32,65,6,14,10,6,14,38,75,65,66,57,49,51,68,70,71,61,62,68,79,68,52,66,46,74
6470,6469,24,69,49,18,30,48,24,26,14,18,19,13,15,73,63,65,63,76,17,24,60,24,17,14,24,20,68,27,21,17,48,39,12,67,45,17,73
6471,6470,21,69,83,57,82,73,71,64,67,80,76,60,65,11,7,9,11,12,48,39,63,63,78,33,57,61,57,66,80,41,76,56,39,54,62,74,77
6472,6471,24,69,91,71,89,81,61,47,56,46,70,46,35,13,16,8,7,13,49,62,70,57,48,63,36,56,61,67,53,70,90,83,71,57,40,33,75
6473,6472,27,69,81,69,79,71,67,61,45,54,65,68,35,12,7,10,13,14,66,33,82,29,62,23,66,63,66,53,72,14,76,70,20,84,44,64,70
6474,6473,32,69,72,69,76,70,68,67,70,70,67,62,60,7,14,6,13,16,39,32,67,62,60,30,61,70,64,64,69,32,77,68,31,62,68,60,69
6475,6474,23,69,82,46,78,82,67,58,58,67,74,69,42,6,15,8,14,15,49,21,58,56,57,28,65,67,64,66,66,35,79,67,30,61,60,58,74
6476,6475,23,69,71,70,67,68,60,68,58,50,60,12,30,9,11,12,12,6,68,66,70,56,48,68,27,32,66,58,59,72,77,75,70,60,32,49,76
6477,6476,38,69,45,41,46,33,21,51,13,13,16,12,22,66,70,69,71,64,14,27,58,21,18,12,50,11,65,22,66,9,40,20,8,70,48,8,69
6478,6477,24,69,70,46,73,69,70,66,62,64,72,67,62,6,14,8,10,12,52,33,71,64,69,31,65,67,62,69,71,32,73,67,34,62,68,63,72
6479,6478,32,69,52,68,47,63,61,69,30,30,37,22,28,14,12,13,10,13,73,63,64,54,25,70,33,26,71,60,36,68,54,60,69,73,32,27,69
6480,6479,26,69,77,45,93,92,65,52,70,50,71,62,39,14,13,16,8,16,60,26,75,65,72,20,48,67,61,66,63,26,76,71,24,33,63,52,70
6481,6480,25,69,65,77,63,57,51,66,52,35,20,25,46,17,12,12,16,11,62,75,73,48,27,71,45,21,70,47,60,69,42,54,70,70,46,22,69
6482,6481,33,69,86,30,83,87,67,73,64,68,75,58,40,12,16,9,8,9,45,40,64,50,46,18,68,72,68,67,50,26,85,70,35,59,67,70,69
6483,6482,25,69,79,59,76,75,69,67,70,43,71,35,57,9,9,8,10,11,54,62,70,57,48,60,55,56,65,63,54,67,83,81,66,58,50,38,69
6484,6483,24,69,66,67,65,67,63,60,67,46,59,44,27,12,14,11,8,8,64,72,73,53,43,69,63,46,66,66,55,73,69,60,72,63,45,50,72
6485,6484,23,69,66,67,76,71,67,62,51,56,66,52,55,6,13,13,12,11,58,69,54,69,62,59,57,56,70,75,65,59,68,79,64,60,68,48,74
6486,6485,24,69,83,65,75,83,68,52,65,59,73,60,46,14,9,13,11,10,38,45,77,64,54,24,57,62,65,63,69,23,80,70,21,42,60,39,72
6487,6486,20,69,62,51,67,68,68,61,56,44,73,48,49,8,7,14,14,12,62,59,70,68,62,51,50,59,63,73,63,51,66,84,59,64,73,42,83
6488,6487,33,69,60,36,42,55,24,55,14,14,12,13,13,65,69,77,64,79,14,15,68,31,13,12,15,10,57,26,23,14,55,23,12,64,44,15,69
6489,6488,24,69,36,66,42,34,54,70,46,39,38,36,54,12,14,6,15,11,69,72,30,63,43,69,52,34,59,60,69,69,32,53,70,91,40,42,76
6490,6489,22,69,73,73,84,77,69,68,52,59,66,57,39,9,7,13,11,15,59,65,74,67,55,65,43,64,69,72,66,65,73,85,69,56,67,49,75
6491,6490,28,69,36,54,30,30,52,57,24,30,39,25,36,8,9,9,14,15,76,75,32,45,24,70,40,21,65,38,68,63,42,66,73,90,32,40,70
6492,6491,27,69,74,52,72,71,70,63,74,72,67,69,77,15,12,14,14,12,53,26,59,69,75,27,67,56,62,71,76,25,71,74,47,75,65,71,69
6493,6492,30,69,51,74,44,35,57,65,43,38,49,24,29,1,1,1,1,1,66,70,73,58,32,64,30,42,65,60,48,63,60,65,65,90,40,23,69
6494,6493,31,69,67,62,82,56,72,73,70,64,74,60,56,6,11,12,12,16,34,30,26,61,62,28,50,66,64,67,63,23,71,59,27,70,74,54,69
6495,6494,28,69,80,79,70,79,72,61,71,46,70,67,38,10,16,14,7,15,46,68,65,59,68,66,40,58,64,62,65,66,73,71,67,75,71,54,69
6496,6495,37,69,68,55,74,67,69,60,76,70,73,49,57,15,8,16,14,9,39,56,57,67,59,46,59,67,66,70,64,57,69,59,52,61,69,55,69
6497,6496,27,69,76,32,70,65,67,56,67,64,70,66,61,12,9,15,10,13,64,16,80,63,67,19,69,63,63,66,70,16,76,70,15,60,64,47,69
6498,6497,30,69,63,83,54,55,60,62,65,58,51,29,47,14,10,14,6,14,68,66,67,52,54,70,40,43,66,63,63,74,67,76,73,77,46,41,69
6499,6498,25,69,61,73,65,73,67,62,64,45,63,60,61,15,13,12,8,15,62,69,69,68,66,67,45,51,62,70,63,66,64,78,65,62,68,43,75
6500,6499,27,69,35,19,31,49,22,34,16,18,20,14,12,71,71,73,67,71,12,19,61,35,13,9,22,13,52,34,21,8,42,26,9,59,43,14,71
6501,6500,23,69,61,71,61,63,66,66,59,33,62,35,33,13,14,10,11,12,62,68,77,72,57,66,36,64,62,71,50,57,61,84,67,70,69,33,77
6502,6501,30,69,43,23,37,48,24,35,14,16,16,14,21,67,64,62,74,69,17,20,59,21,17,20,20,12,66,30,24,16,44,30,15,69,32,16,69
6503,6502,20,69,68,49,66,66,69,72,46,65,64,70,33,13,12,5,8,15,71,35,75,37,56,21,68,70,65,61,65,12,71,73,12,75,57,59,79
6504,6503,31,69,34,35,42,43,14,43,13,12,20,12,17,68,61,72,68,71,11,15,50,54,15,14,25,11,72,39,13,14,34,28,15,55,47,12,69
6505,6504,23,69,85,58,78,91,64,52,66,50,67,31,46,12,9,11,9,7,37,65,74,51,37,65,42,34,60,65,45,70,77,91,68,48,36,27,75
6506,6505,28,69,77,33,85,79,70,61,61,53,68,69,53,10,14,7,8,7,53,17,50,60,67,25,56,69,54,68,66,29,83,73,29,46,64,58,69
6507,6506,29,69,74,72,71,84,64,63,61,63,62,63,65,6,7,15,8,10,62,69,68,65,71,64,60,66,68,72,68,67,68,70,66,71,72,54,69
6508,6507,22,69,76,54,88,72,70,62,64,69,73,68,70,7,8,10,12,13,53,23,70,63,63,25,51,70,64,69,66,27,77,76,42,56,62,57,80
6509,6508,22,69,79,62,78,78,66,64,67,58,65,64,60,9,9,6,8,12,51,61,66,63,70,60,54,65,68,66,67,61,82,85,64,63,63,47,76
6510,6509,29,69,67,74,78,72,73,68,48,46,65,56,49,13,8,8,9,12,60,40,80,74,49,45,49,72,76,71,72,40,74,67,43,67,73,63,69
6511,6510,33,69,48,69,65,61,75,67,73,71,69,71,67,13,10,7,13,6,67,65,61,69,73,59,59,57,70,74,77,59,60,73,62,69,69,66,69
6512,6511,32,69,67,40,67,60,76,68,66,68,74,66,61,11,10,11,16,10,60,43,37,69,66,46,65,61,65,70,62,48,62,54,40,73,71,70,69
6513,6512,32,69,66,80,57,67,52,63,45,40,51,36,26,15,12,15,6,13,74,64,82,50,40,66,55,37,65,58,63,56,67,70,67,83,50,28,69
6514,6513,22,69,60,61,64,52,63,63,22,25,51,17,22,13,14,14,14,10,66,64,79,60,19,72,31,23,65,64,32,67,54,68,68,76,51,24,76
6515,6514,23,69,47,26,33,64,21,26,12,15,16,14,19,71,66,62,69,72,13,18,58,25,15,12,23,18,61,28,20,16,44,37,14,52,45,13,75
6516,6515,22,69,79,79,87,75,65,57,72,71,70,56,50,15,6,7,8,12,57,62,76,67,63,65,50,70,57,69,61,70,83,72,66,51,52,30,75
6517,6516,29,69,70,76,78,77,69,70,61,70,65,56,71,6,15,8,11,11,54,67,72,70,72,62,58,62,72,72,73,55,68,84,60,53,73,69,69
6518,6517,26,69,71,78,62,44,57,62,58,70,65,69,45,8,9,14,6,13,65,34,70,57,65,17,64,65,66,59,75,25,82,65,27,86,60,62,72
6519,6518,25,69,69,67,58,59,71,66,36,47,67,56,31,12,6,16,8,15,66,61,76,69,53,55,41,67,67,72,63,62,67,75,61,56,72,58,73
6520,6519,25,69,65,48,60,42,70,59,48,70,68,65,55,8,9,8,7,16,56,23,51,55,62,18,50,72,70,68,63,22,55,53,44,50,72,57,69
6521,6520,35,69,77,47,77,73,66,62,69,62,67,64,62,15,12,16,11,15,55,29,79,63,68,20,65,67,64,69,70,33,78,78,34,65,64,60,69
6522,6521,21,69,79,37,76,73,68,59,72,56,67,59,51,10,13,6,10,11,48,67,55,67,53,63,49,49,71,71,60,64,77,63,59,46,68,54,77
6523,6522,25,69,60,52,70,44,70,71,64,55,69,68,64,13,16,8,8,16,68,22,51,72,65,22,70,62,65,70,52,21,62,60,38,74,68,48,69
6524,6523,18,69,77,71,75,77,70,71,54,58,68,53,49,12,10,7,6,8,51,67,69,67,59,66,57,55,63,71,63,66,79,76,68,72,64,42,83
6525,6524,30,69,24,31,27,40,19,49,11,18,19,13,10,72,67,68,62,71,13,7,60,25,9,12,20,8,66,31,23,9,30,27,13,66,28,11,69
6526,6525,28,69,69,87,74,60,68,68,66,73,62,46,62,5,5,5,5,5,51,69,35,70,64,54,67,65,71,67,54,67,65,85,63,70,72,56,69
6527,6526,29,69,52,75,53,50,63,73,43,35,58,36,48,6,14,13,14,7,72,68,59,66,35,64,52,52,65,71,71,61,53,73,70,84,61,40,69
6528,6527,27,69,61,50,53,59,66,65,65,43,59,56,59,14,13,12,12,12,58,66,73,66,53,69,47,48,58,69,68,70,66,87,72,72,59,30,69
6529,6528,21,69,76,38,82,78,67,59,71,60,72,60,49,7,8,8,6,11,47,34,46,66,58,36,62,63,59,68,44,35,81,59,35,58,65,58,77
6530,6529,21,69,54,70,61,73,72,57,59,66,69,44,46,7,13,13,15,7,60,62,60,71,49,66,50,57,64,75,57,65,59,66,67,65,60,43,78
6531,6530,24,69,68,51,63,59,64,67,31,43,59,71,49,11,15,10,9,16,74,36,74,37,62,36,55,72,68,52,67,37,68,68,32,76,58,62,73
6532,6531,33,69,58,61,52,42,68,66,40,41,64,72,49,8,15,8,6,11,72,38,38,42,67,45,67,75,63,55,70,38,52,53,40,79,53,58,69
6533,6532,24,69,63,75,39,34,48,61,20,26,40,25,20,11,9,9,12,14,67,70,54,59,34,64,37,31,51,63,50,71,54,84,73,83,25,37,74
6534,6533,24,69,76,65,69,64,60,61,70,58,58,22,26,7,14,8,8,15,58,72,77,53,25,64,59,64,63,55,58,66,77,81,67,75,50,26,72
6535,6534,33,69,53,62,45,40,75,73,49,31,45,36,54,11,16,9,11,8,77,68,45,70,44,61,45,69,78,76,58,51,58,53,62,86,64,43,69
6536,6535,21,69,61,55,68,68,74,58,68,72,72,66,73,14,15,10,16,9,42,49,55,66,61,41,68,65,60,71,50,45,62,71,52,60,72,49,82
6537,6536,21,69,55,82,59,56,56,65,37,39,53,20,27,8,9,14,14,9,61,74,86,52,33,66,33,28,66,55,47,58,74,51,65,80,42,34,76
6538,6537,30,69,82,59,79,85,70,67,51,60,73,74,62,6,8,9,9,11,53,29,70,45,65,18,59,79,78,62,58,16,80,51,17,36,59,66,69
6539,6538,30,69,50,25,43,40,15,31,14,14,19,16,15,65,67,62,67,75,20,18,55,24,14,18,17,14,71,28,23,18,44,35,18,79,14,16,69
6540,6539,23,69,62,76,52,53,45,60,28,30,38,26,31,14,11,14,6,11,65,74,68,37,21,65,46,23,59,53,49,73,54,60,72,77,31,21,75
6541,6540,30,69,74,42,77,83,68,60,63,68,69,62,59,8,14,16,7,15,59,24,71,64,65,30,60,68,68,68,65,25,83,72,24,67,67,67,69
6542,6541,26,69,47,27,31,52,22,33,17,17,16,20,16,72,63,61,68,74,21,25,70,18,20,12,25,13,61,31,20,17,44,24,15,65,42,18,71
6543,6542,21,69,67,58,54,58,57,62,36,40,45,46,36,13,7,9,15,14,62,70,80,65,38,67,44,28,69,62,47,68,68,61,69,85,53,33,76
6544,6543,18,69,73,65,78,79,66,58,58,49,61,47,49,14,11,8,13,9,55,72,43,72,48,67,49,57,66,75,61,59,68,68,65,56,56,48,79
6545,6544,29,69,66,45,70,61,68,63,65,56,66,67,51,8,6,11,7,7,52,54,71,67,66,55,55,77,64,66,68,48,73,72,52,63,71,61,69
6546,6545,23,69,76,75,72,73,72,58,70,41,71,59,59,13,14,8,11,13,44,61,71,66,60,65,60,63,64,70,75,72,75,76,69,67,59,44,78
6547,6546,30,69,58,29,73,57,71,74,68,72,73,74,28,9,10,14,6,10,72,18,85,64,54,26,62,76,54,69,70,19,55,83,28,78,70,59,69
6548,6547,27,69,42,80,31,36,37,39,21,22,19,18,25,6,16,12,8,12,73,66,80,64,20,73,28,20,51,59,43,65,45,69,67,80,17,13,70
6549,6548,27,69,76,75,75,67,67,64,67,45,61,35,61,9,8,11,7,14,63,72,73,59,28,70,45,53,63,61,65,70,65,69,71,66,59,26,70
6550,6549,29,69,67,64,69,67,62,64,36,32,60,42,30,9,13,7,8,12,70,74,76,66,51,70,48,42,60,71,56,75,59,72,73,71,50,32,69
6551,6550,29,69,63,68,73,56,67,67,60,64,58,67,68,7,10,15,8,8,62,69,76,66,70,66,62,64,69,69,70,63,59,77,65,75,64,35,69
6552,6551,22,69,78,31,78,78,69,60,69,56,75,67,53,14,9,8,10,12,55,16,64,59,60,21,58,66,65,66,63,24,75,64,25,49,59,69,76
6553,6552,28,69,81,39,84,78,67,68,65,65,69,59,68,14,6,7,8,7,51,46,72,63,66,20,60,66,66,66,68,35,82,55,39,56,66,63,69
6554,6553,25,69,82,76,73,58,70,63,48,68,73,68,64,11,9,16,12,6,68,43,45,40,69,29,75,70,73,68,78,34,82,78,37,63,59,59,69
6555,6554,37,69,54,71,68,73,70,67,60,71,68,57,65,15,12,11,9,7,72,65,83,71,66,69,63,66,70,73,70,67,54,49,71,65,66,65,69
6556,6555,32,69,65,69,66,63,65,71,65,67,63,39,67,12,16,16,13,12,63,66,54,66,53,67,74,53,69,67,65,68,66,83,69,75,58,36,69
6557,6556,24,69,66,61,68,62,70,57,67,55,61,65,45,12,9,10,8,8,54,63,71,69,67,68,68,59,65,71,72,69,63,76,68,75,55,52,74
6558,6557,30,69,80,44,80,71,70,60,66,48,72,65,46,13,12,11,10,9,62,23,56,43,63,22,48,73,68,67,61,17,82,68,20,63,48,60,69
6559,6558,31,69,33,87,29,30,29,56,25,36,28,30,32,12,10,7,9,8,80,56,57,36,16,69,49,39,69,35,57,73,34,34,74,79,41,29,69
6560,6559,24,69,76,88,76,87,64,69,55,53,62,43,55,16,13,14,12,6,44,74,79,59,49,63,51,55,53,68,66,67,78,86,73,67,55,53,76
6561,6560,28,69,80,56,73,72,67,59,69,64,68,60,66,8,13,8,10,8,38,48,51,65,74,52,64,64,59,67,72,64,79,77,61,67,66,64,69
6562,6561,25,69,80,32,74,67,70,62,63,62,75,62,54,10,8,14,14,10,34,29,38,48,59,23,64,63,64,69,52,30,78,64,39,49,66,52,70
6563,6562,21,69,70,71,90,75,65,43,51,62,76,48,62,7,11,9,5,9,58,40,58,62,64,34,60,55,56,74,61,46,60,66,39,41,79,47,79
6564,6563,25,69,72,58,68,60,70,68,53,57,76,71,48,10,6,9,8,7,55,41,48,60,66,37,61,68,60,66,72,28,73,69,41,74,69,58,74
6565,6564,28,69,60,91,55,52,59,65,62,36,61,36,62,13,10,8,7,7,64,63,71,62,25,65,51,39,52,64,51,68,65,63,65,83,45,26,71
6566,6565,27,69,64,80,57,61,63,61,59,52,57,44,55,12,11,12,12,13,71,66,45,58,42,71,58,43,60,61,58,70,70,82,72,75,45,54,69
6567,6566,30,69,54,80,58,65,55,57,37,39,37,36,28,8,12,12,15,16,68,66,75,59,37,68,43,29,70,64,50,67,40,57,68,76,42,25,69
6568,6567,24,69,67,68,82,72,74,67,51,65,66,56,68,9,15,15,12,14,52,50,58,70,66,50,65,65,65,72,70,51,69,75,51,62,70,55,73
6569,6568,24,69,42,25,39,33,31,28,7,13,22,11,12,68,66,75,63,74,10,16,70,26,9,15,19,7,64,31,22,11,44,43,16,69,40,7,75
6570,6569,20,69,68,38,74,58,65,64,54,39,67,71,29,13,6,14,10,6,73,14,83,34,52,20,67,68,60,67,67,16,74,69,13,70,53,58,78
6571,6570,31,69,56,74,68,67,65,61,51,46,61,51,54,15,13,11,16,8,64,67,66,61,55,67,61,60,66,63,62,68,57,77,70,78,60,55,69
6572,6571,28,69,69,58,59,53,73,59,76,59,70,48,52,11,7,13,11,11,48,59,45,63,51,64,60,60,67,65,62,66,76,70,68,88,57,41,69
6573,6572,33,69,50,64,42,44,48,58,23,27,39,25,22,13,8,8,7,14,75,74,53,32,18,72,37,40,63,60,38,64,48,52,68,82,35,23,69
6574,6573,31,69,77,71,68,76,70,73,68,68,67,66,62,11,7,9,7,9,52,51,62,63,62,37,66,68,67,65,72,33,77,73,43,66,64,62,69
6575,6574,24,69,80,39,76,62,71,65,65,60,73,58,42,16,15,14,8,10,48,25,50,60,58,23,63,64,67,65,68,34,81,63,31,63,66,54,71
6576,6575,23,69,68,78,66,69,71,61,74,71,70,55,41,13,15,13,8,12,57,70,61,59,48,59,62,64,66,63,63,64,75,88,63,60,49,51,78
6577,6576,20,69,62,80,71,69,70,73,59,60,61,46,45,11,13,8,9,13,41,67,62,70,55,59,39,49,61,72,58,59,62,56,72,72,69,37,79
6578,6577,20,69,66,58,63,70,69,59,36,34,71,67,40,9,15,8,6,8,46,51,50,61,69,26,42,63,67,74,74,38,48,51,39,41,66,36,78
6579,6578,28,69,69,72,68,67,67,66,67,60,63,45,59,16,10,9,8,14,50,69,80,64,63,69,50,57,66,65,68,69,71,80,67,78,50,41,69
6580,6579,22,69,85,54,84,83,68,71,63,56,73,68,40,13,7,8,14,11,52,17,81,56,57,17,62,63,68,61,71,12,81,70,14,61,63,66,75
6581,6580,34,69,61,65,46,66,51,60,45,48,49,33,47,9,11,15,14,12,76,65,76,61,49,73,38,46,70,58,63,65,55,65,71,72,42,53,69
6582,6581,24,69,57,65,59,67,59,63,53,28,32,36,50,6,9,13,9,16,67,71,73,48,43,72,56,46,59,52,52,67,65,56,71,69,26,30,74
6583,6582,29,69,75,65,79,73,69,65,69,69,76,55,58,7,9,13,8,14,52,29,68,55,66,34,54,68,66,62,71,35,75,69,49,65,67,47,69
6584,6583,27,69,75,84,91,86,71,76,56,64,68,38,46,11,10,8,14,15,44,74,80,69,44,51,50,66,76,66,42,62,68,90,60,56,67,40,70
6585,6584,19,69,69,49,77,78,71,56,71,76,64,62,68,12,10,9,9,9,38,28,59,63,68,46,50,63,58,76,64,47,64,58,33,56,69,75,83
6586,6585,30,69,42,77,53,51,70,68,53,50,57,39,51,7,13,12,15,7,71,70,50,64,53,66,49,50,63,67,68,69,49,75,70,86,47,50,69
6587,6586,32,69,75,80,74,70,68,65,69,73,72,68,68,15,13,10,6,14,61,32,72,56,64,27,69,69,66,62,76,13,71,79,22,64,70,64,69
6588,6587,25,69,74,69,76,67,69,64,68,58,68,54,60,11,14,8,8,6,59,61,71,68,62,66,58,56,64,69,64,66,78,75,67,71,63,52,72
6589,6588,23,69,64,75,55,60,67,65,51,46,61,40,44,13,7,7,14,8,60,71,54,66,40,68,49,46,65,73,60,67,61,57,72,64,52,47,77
6590,6589,20,69,65,66,50,54,51,62,23,34,50,22,29,7,13,16,10,7,70,66,72,49,29,65,33,28,65,57,45,66,62,70,72,79,36,31,82
6591,6590,31,69,52,71,61,63,62,72,49,65,57,48,63,11,15,15,8,10,63,72,80,64,59,64,57,44,68,66,66,70,46,75,74,76,59,54,69
6592,6591,26,69,44,76,55,64,55,59,40,43,36,19,45,9,7,8,9,11,72,66,86,41,24,63,48,24,65,55,38,64,51,60,66,84,39,21,71
6593,6592,24,69,78,44,78,87,72,64,59,63,70,60,59,6,10,12,14,7,46,51,63,64,59,40,55,63,71,70,63,45,76,67,50,52,69,46,74
6594,6593,19,69,77,28,82,90,77,71,70,68,74,58,63,15,14,12,12,12,35,31,32,58,54,16,49,55,58,67,59,33,72,66,38,32,72,66,80
6595,6594,21,69,68,75,71,75,70,72,67,70,67,57,72,15,9,10,13,13,45,64,57,66,64,45,53,66,66,71,68,47,53,74,62,69,70,47,77
6596,6595,23,69,77,58,73,62,72,59,66,64,70,68,65,9,11,7,16,13,48,17,68,65,68,27,57,66,56,67,72,19,83,67,23,65,65,48,75
6597,6596,27,69,63,62,51,56,59,61,33,34,32,22,37,10,7,9,11,12,70,65,70,55,27,67,41,32,54,62,41,66,66,73,71,89,35,29,71
6598,6597,24,69,63,78,62,70,68,67,42,54,50,70,24,4,4,4,4,4,74,22,67,40,54,15,53,72,71,62,75,17,62,78,18,80,28,56,74
6599,6598,23,69,79,42,79,78,67,65,62,47,72,65,41,14,13,13,9,7,43,39,30,65,76,32,56,63,66,72,68,36,76,62,35,69,67,47,77
6600,6599,23,69,80,33,80,68,65,55,72,56,69,64,57,7,8,9,14,7,53,30,36,68,67,49,50,66,62,69,49,40,78,62,36,57,74,51,76
6601,6600,29,69,58,63,66,74,68,72,59,67,65,72,69,14,12,9,8,11,69,25,69,63,66,24,81,71,63,66,69,14,59,75,23,74,64,65,69
6602,6601,27,69,78,76,74,76,69,67,69,45,70,64,53,12,16,8,12,7,66,46,82,62,65,35,65,69,65,65,77,30,80,82,38,68,66,53,69
6603,6602,27,69,81,70,78,72,66,68,65,56,68,61,56,8,16,12,8,14,66,66,70,62,56,66,54,64,65,64,65,64,80,75,66,68,65,56,69
6604,6603,24,69,78,55,76,77,75,68,54,74,74,62,59,7,7,13,14,10,44,52,33,60,74,43,53,60,68,73,66,36,77,78,42,67,75,68,74
6605,6604,24,69,83,34,85,62,75,74,66,60,75,62,58,12,14,11,14,10,58,23,64,54,65,22,60,58,58,66,74,29,86,76,33,71,50,66,72
